"min"	"mean"	"median"	"max"	"sd"	"rsd"
"OvaryPerimeter"	3.41	4.686525	4.3995	8.797	1.10974492304798	0.236794836909647
"StaminodeH"	1.401	1.72145	1.699	2.163	0.169036932696333	0.0981945061990375
"StyleH"	1.3945	2.122744	2.1374	3.2788	0.328102353103105	0.154565201033712
"OvaryH"	0.7746	1.158435	1.155	2.428	0.298829699850635	0.257959833612274
"StigToStam"	0	0.9409125	0.98235	1.71	0.356539842911467	0.378929861077908
"FilBot"	2.359	2.929925	2.8455	4.128	0.350387579359244	0.119589265718148
"FilTop"	1.712	2.329325	2.31	3.379	0.405195577183699	0.173954075615768
"PetalCurveR"	3.028	3.7946	3.6645	4.845	0.471751336062679	0.124321756196353
"PetalCurveL"	3.158	3.832375	3.8275	4.944	0.466080530485276	0.12161662950136
"LiguleLen"	5.442	6.41565	6.335	8.063	0.620027069301548	0.0966429074686973
"LiguleW"	1.575	2.166625	2.1475	3.391	0.390103055910575	0.180051026786165
"SepalLen"	6.765	8.0717475	8.0655	9.563	0.602898262024833	0.0746924085552519
"SepalW"	1.675	2.162725	2.1695	2.727	0.262555096781902	0.121400130290213
"OvaryW"	1.085436712	1.491767239375	1.4004043445	2.800172069	0.353242780189355	0.236794836932705
"PollinatorDoor"	5.465	6.7434125	6.6185	8.386	0.756724519595931	0.112216851571208
