associatedMedia	Anthesis	SelfCompatible	OvuleNum	OvaryPerimeter	StaminodeH	StyleH	OvaryH	StigToStam	FilBot	FilTop	PetalCurveR	PetalCurveL	LiguleLen	LiguleW	SepalLen	SepalW	OvaryW	PollinatorDoor	Notes
thecac_fbg_rph_220622_09	splay	Y	NA	5.022	1.643	2.2146	1.378	1.083	3.376	3.245	4.158	4.235	6.632	2.389	8.053	2.43	1.598552248	7.5725	
thecac_fbg_rph_220622_08	splay	Y	NA	4.99	1.712	1.9069	1.075	0.9838	3.043	2.293	3.867	4.096	6.192	2.319	7.553	2.069	1.588366332	7.0245	
thecac_fbg_rph_220622_10	splay	Y	NA	4.133	1.856	2.203	0.8318	1.078	3.406	2.222	4.264	4.131	6.105	2.536	8.078	2.33	1.31557476	7.6035	ovary sep from staminodes is weird, could replace lms in volren
thecac_fbg_rf_0120c_220624_01	splay	N	NA	3.756	1.46	2.3937	1.089	1.349	2.496	2.496	3.355	3.293	6.482	1.874	7.523	1.874	1.195571933	5.82	
thecac_fbg_RF_220502_01	splay	N	NA	4.592	1.656	2.2783	1.268	1.298	2.928	2.456	3.142	3.53	7.239	2.693	7.952	2.187	1.461678997	6.264	
thecac_fbg_cg_220622_01	converging	N	NA	3.535	1.558	2.119	0.8004	0.5766	2.61	1.975	3.307	3.277	5.55	1.575	8.484	1.834	1.125225448	5.902	
THECAC_FBG_RF_0120a_220624_02	parallel _converging	N	NA	4.871	1.814	2.1358	1.339	0.4098	2.833	2.272	4.059	3.836	6.433	1.995	8.359	2.136	1.550487456	6.7805	
Thecac_fbg_RPH_220123_04	parallel	Y	NA	6.081	2.063	1.69583	1.5	0.7014	4.128	3.379	4.329	4.187	7.319	2.323	7.317	2.548	1.935642418	8.386	sketchy model and 3d slicer was acting up during lm placement and lagging
thecac_fbg_cg_220622_06	converging	N	NA	3.692	1.665	2.083	0.8887	0.6784	2.588	1.788	3.338	3.211	6.108	1.899	8.6	1.879	1.1752001	5.8625	
thecac_fbg_cg_220622_07	converging	N	NA	4.008	1.467	1.8455	1.039	0.2192	2.763	1.712	3.271	3.158	6.468	1.686	9.563	1.91	1.275786024	5.9775	stig and stam touching; ovary perim might be werid
THECAC_FBG_RF_0120a_220624_03	parallel	N	NA	4.694	1.63	3.2788	1.279	1.122	2.806	2.122	4.139	3.932	6.406	2.043	7.048	1.852	1.494146606	6.8415	poor quality model
thecac_fbg_rf_0120c_220624_02	splay	N	NA	4.991	1.586	2.534	1.421	1.152	2.697	2.157	3.467	3.41	7.144	1.959	7.493	2.032	1.588684642	6.1355	
THECAC_FBG_RF_220502_03	splay	N	NA	8.797	1.612	2.3922	2.428	1.527	2.755	1.778	3.435	3.537	6.818	2.091	7.864	2.144	2.800172069	6.241	big ovary that looks like it was fertilized; perimeter was hard to trace at even plane
Thecac_fbg_RPH_220123_05	parallel	Y	NA	5.671	1.8	1.441	1.383	0.8708	3.434	2.983	4.517	4.577	6.331	2.264	7.934	2.27	1.805135365	7.981	poor quality model, but landmarks came out good
thecac_fbg_cg_220622_02	converging	N	NA	3.819	1.627	2.102	0.7746	0.547	2.496	1.737	3.313	3.209	5.66	1.637	8.835	1.675	1.215625455	5.757	
Thecac_fbg_RPH_220123_06	splay	Y	NA	7.343	2.163	1.638	1.577	0.8831	3.249	2.479	4.845	4.944	8.063	3.391	8.6	2.519	2.337349494	8.1435	only 1 petal
thecac_fbg_rph_220622_05	splay	Y	NA	5.148	1.787	2.2098	1.186	1.076	3.136	2.465	4.322	4.364	5.981	2.497	8.439	2.477	1.638659294	7.479	
thecac_fbg_rph_220622_06	splay	Y	NA	5.507	1.84	2.06223	1.205	1.172	3.24	2.594	4.117	4.083	5.796	2.569	8.302	2.296	1.752932543	7.34	
thecac_fbg_cg_220622_03	converging	N	NA	3.607	1.743	2.018	0.7952	0.693	2.432	1.997	3.11	3.324	5.442	1.589	8.499	1.835	1.148143759	5.649	
thecac_fbg_cg_220622_05	converging	N	NA	3.695	1.758	2.013	0.8668	0.4146	2.377	1.809	3.279	3.307	5.635	1.633	8.783	1.934	1.176155029	5.67	
THECAC_FBG_RF_0120a_220624_04	parallel _converging	N	NA	5.479	1.655	1.3945	1.317	1.152	2.706	2.011	3.935	3.97	6.899	2.257	7.787	2.257	1.744019866	6.6585	weird sepal
thecac_fbg_rf_0120c_220624_04	splay	N	NA	4.308	1.484	2.4217	1.429	1.475	2.744	2.448	3.463	3.489	6.181	1.647	7.777	2.167	1.37127899	6.22	weird ligule; smooth ovary, long stigma lobes
thecac_fbg_rph_220622_07	splay	Y	NA	6.697	1.686	2.0905	1.33	0.9809	3.269	2.128	4.285	4.215	6.144	2.597	8.091	2.062	2.131721308	7.519	weird sepal
thecac_fbg_rph_220622_11	splay	Y	NA	4.491	1.542	2.079	1.25	1.71	2.922	2.459	4.248	4.28	5.597	2.651	7.483	2.275	1.429529699	7.186	really interesting surface texture
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
	splay																		
